Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report
MD02049,CT Scanner,12/2/2022,3,RescueTech,Model-600,UK,11230.04409,13.93889056,1,3,2,Routine check completed; software crash observed during diagnostics. reviewed logs performance warning
MD02006,Defibrillator,1/27/2018,7,RescueTech,Model-200,Canada,4348.303724,1.417609977,5,0,1,Routine check completed; data lag observed during diagnostics. quick fix routine reset
MD01497,MRI Scanner,5/15/2019,6,RescueTech,Model-500,UK,4342.488321,2.290585324,2,4,1,abnormal sound caused operational delay; inspection initiated. software reset temporary glitch
MD00881,CT Scanner,3/29/2021,4,MedEquip,Model-250,USA,8938.977781,4.841089462,3,1,2,circuit failure caused operational delay; inspection initiated. driver update average severity report
MD04353,PET Scanner,10/5/2023,2,UltraMed,Model-200,Canada,12728.42002,14.41812769,5,3,2,Component replacement after detecting abnormal sound; functionality restored. reviewed logs component review
MD00379,MRI Scanner,11/20/2013,12,ImagingTech,Model-400,France,5308.273854,14.33200349,2,0,3,System performance degraded due to software crash; mitigation via system reset. reboot failed critical malfunction
MD01583,X-Ray Machine,5/27/2014,11,ScanPro,Model-150,Japan,7272.149289,5.629784676,2,1,1,Component replacement after detecting circuit failure; functionality restored. software reset low priority fault
MD02767,MRI Scanner,4/17/2019,6,UltraMed,Model-350,Canada,4354.652277,12.92444204,3,2,2,System performance degraded due to circuit failure; mitigation via inspection. component issue component review
MD00176,CT Scanner,12/18/2018,7,ImagingTech,Model-100,UK,5813.155784,7.24351466,1,1,1,Routine check completed; sensor misalignment observed during diagnostics. quick fix low priority fault
MD03069,X-Ray Machine,10/25/2013,12,ScanPro,Model-200,Japan,15872.85493,10.42990087,3,2,3,Component software patch after detecting battery wear; functionality restored. data loss critical malfunction
MD04657,CT Scanner,4/29/2020,5,CardioSync,Model-250,Canada,8649.128307,11.12379275,1,1,2,Component software patch after detecting battery wear; functionality restored. moderate delay average severity report
MD04289,Infusion Pump,2/24/2019,6,UltraMed,Model-200,USA,1530.039543,6.307341739,4,3,1,software crash caused operational delay; system reset initiated. minor issue temporary glitch
MD04025,X-Ray Machine,10/17/2018,7,CardioSync,Model-250,UK,3192.006754,5.445519387,3,5,1,Routine check completed; data lag observed during diagnostics. log cleaned system check passed
MD02020,MRI Scanner,2/20/2019,6,CardioSync,Model-300,France,3270.789479,4.021902955,1,0,1,Component inspection after detecting data lag; functionality restored. minor issue quick fix
MD05127,Infusion Pump,11/11/2022,3,RescueTech,Model-150,France,7189.222727,8.321520026,1,2,1,System performance degraded due to data lag; mitigation via component upgrade. log cleaned minor issue
MD04812,Defibrillator,12/17/2021,4,RescueTech,Model-200,Japan,4005.144521,5.893608582,5,4,1,Routine check completed; data lag observed during diagnostics. software reset system check passed
MD00032,CT Scanner,11/27/2015,10,ScanPro,Model-150,UK,6163.069181,16.65470236,2,0,2,Routine check completed; abnormal sound observed during diagnostics. driver update non-critical warning
MD04625,X-Ray Machine,12/9/2016,9,UltraMed,Model-150,Japan,12372.38437,16.61613126,5,1,2,Routine check completed; battery wear observed during diagnostics. driver update component review
MD02258,Infusion Pump,2/18/2024,1,UltraMed,Model-550,Canada,3606.38877,1.130786213,4,3,1,Component inspection after detecting data lag; functionality restored. quick fix system check passed
MD04082,MRI Scanner,3/29/2021,4,MedEquip,Model-650,Italy,5065.122013,2.637159137,5,2,1,voltage spike caused operational delay; software patch initiated. log cleaned routine reset
MD01360,CT Scanner,5/4/2023,2,RescueTech,Model-150,USA,18302.83789,24.21129257,1,3,3,System performance degraded due to sensor misalignment; mitigation via software patch. reboot failed high priority failure
MD04141,Infusion Pump,8/14/2020,5,CardioSync,Model-450,Japan,15205.44723,20.23594201,4,2,3,System performance degraded due to data lag; mitigation via recalibration. critical failure hardware fault
MD02879,MRI Scanner,3/31/2022,3,ScanPro,Model-600,Italy,7616.798107,9.936222456,1,1,2,Component component upgrade after detecting data lag; functionality restored. component issue average severity report
MD00882,Defibrillator,6/21/2023,2,UltraMed,Model-150,France,3524.603502,8.243052198,2,0,1,System performance degraded due to battery wear; mitigation via inspection. minor issue system check passed
MD03579,Infusion Pump,1/12/2024,1,MedEquip,Model-300,Italy,2434.525129,14.15502197,2,0,2,voltage spike caused operational delay; component upgrade initiated. moderate delay component review
MD02057,Defibrillator,1/12/2017,8,CardioSync,Model-200,Japan,5864.701098,3.761546318,3,3,1,Routine check completed; software crash observed during diagnostics. log cleaned routine reset
MD01050,CT Scanner,12/20/2013,12,MedEquip,Model-250,Japan,11417.87571,4.529445967,2,5,3,Routine check completed; data lag observed during diagnostics. critical failure hardware fault
MD04268,Infusion Pump,6/21/2019,6,ImagingTech,Model-450,France,3779.644755,9.094593019,3,0,1,Routine check completed; abnormal sound observed during diagnostics. quick fix quick fix
MD04429,PET Scanner,7/24/2023,2,RescueTech,Model-400,Japan,7726.930062,10.26285245,2,1,3,Component firmware update after detecting circuit failure; functionality restored. data loss sensor replacement
MD03744,X-Ray Machine,10/24/2021,4,RescueTech,Model-300,France,13173.8212,27.82371244,3,3,3,circuit failure caused operational delay; software patch initiated. reboot failed system crash
MD03228,Infusion Pump,6/18/2021,4,UltraMed,Model-100,UK,4977.499024,6.475102376,2,1,2,Component component upgrade after detecting abnormal sound; functionality restored. reviewed logs moderate delay
MD04064,Infusion Pump,11/25/2013,12,MedEquip,Model-400,Canada,11476.04339,11.17988657,4,2,3,System performance degraded due to sensor misalignment; mitigation via inspection. reboot failed critical failure
MD01243,MRI Scanner,8/21/2022,3,RescueTech,Model-550,USA,17545.38152,12.12904366,1,1,3,voltage spike caused operational delay; software patch initiated. reboot failed critical failure
MD04131,CT Scanner,9/10/2019,6,ScanPro,Model-400,Italy,14017.41951,29.07029555,3,0,3,sensor misalignment caused operational delay; replacement initiated. critical failure emergency shutdown
MD05296,Infusion Pump,2/25/2014,11,CardioSync,Model-550,Canada,16278.76412,25.85854219,3,4,3,sensor misalignment caused operational delay; software patch initiated. reboot failed critical failure
MD05172,PET Scanner,1/26/2019,6,RescueTech,Model-250,Japan,2493.601184,18.10140038,1,3,3,Routine check completed; abnormal sound observed during diagnostics. sensor replaced critical failure
MD01455,MRI Scanner,7/14/2023,2,UltraMed,Model-450,Italy,8208.85331,5.767848193,3,0,2,Component firmware update after detecting battery wear; functionality restored. component issue average severity report
MD02926,MRI Scanner,5/2/2016,9,CardioSync,Model-450,France,16925.03978,7.540328789,2,4,3,Routine check completed; sensor misalignment observed during diagnostics. data loss system crash
MD00079,X-Ray Machine,12/16/2022,3,CardioSync,Model-450,Japan,8438.734861,18.57839399,5,0,2,Routine check completed; data lag observed during diagnostics. driver update driver update applied
MD01275,Infusion Pump,4/2/2016,9,CardioSync,Model-400,Canada,1372.915542,7.268678479,3,0,1,System performance degraded due to circuit failure; mitigation via component upgrade. minor issue low priority fault
MD00835,Defibrillator,12/9/2014,11,RescueTech,Model-450,Japan,19854.51962,17.61080811,4,2,3,battery wear caused operational delay; inspection initiated. sensor replaced sensor replacement
MD01045,Defibrillator,4/10/2023,2,RescueTech,Model-550,France,5853.019153,15.91909491,5,1,2,Component component upgrade after detecting abnormal sound; functionality restored. component issue performance warning
MD00748,PET Scanner,11/20/2015,10,ImagingTech,Model-100,Canada,4760.270987,11.38747251,4,2,1,System performance degraded due to battery wear; mitigation via component upgrade. minor issue minor issue
MD00148,Infusion Pump,10/22/2016,9,ScanPro,Model-550,Japan,7153.542955,9.425824966,4,0,2,Component system reset after detecting sensor misalignment; functionality restored. driver update component review
MD04304,Infusion Pump,12/24/2013,12,MedEquip,Model-300,Japan,8515.449455,8.734599238,5,1,2,Routine check completed; software crash observed during diagnostics. reviewed logs driver update applied
MD01287,Defibrillator,5/15/2017,8,UltraMed,Model-150,UK,6786.97074,18.78096486,4,2,2,Routine check completed; voltage spike observed during diagnostics. component issue device required inspection
MD01691,PET Scanner,4/23/2022,3,CardioSync,Model-250,France,13131.92703,27.97920985,3,1,3,overheating caused operational delay; system reset initiated. data loss high priority failure
MD00515,Infusion Pump,8/25/2021,4,UltraMed,Model-350,UK,5226.733406,1.963652719,4,2,1,Routine check completed; data lag observed during diagnostics. quick fix low priority fault
MD04916,CT Scanner,4/12/2023,2,MedEquip,Model-650,UK,2681.587878,5.179121388,4,4,1,Component firmware update after detecting software crash; functionality restored. log cleaned minor issue
MD01318,Defibrillator,8/21/2019,6,MedEquip,Model-250,Canada,11806.30421,2.591766247,1,2,2,Routine check completed; battery wear observed during diagnostics. reviewed logs component review
MD01865,MRI Scanner,3/14/2018,7,ImagingTech,Model-300,UK,21697.43702,3.670809554,1,1,3,software crash caused operational delay; firmware update initiated. sensor replaced critical malfunction
MD00399,Defibrillator,5/5/2023,2,ScanPro,Model-600,France,23434.75236,24.27059404,1,6,3,Component recalibration after detecting abnormal sound; functionality restored. reboot failed critical failure
MD00428,Defibrillator,7/8/2016,9,ScanPro,Model-300,USA,6914.768835,9.799037183,2,0,2,Routine check completed; voltage spike observed during diagnostics. driver update component review
MD01141,Infusion Pump,11/24/2015,10,RescueTech,Model-600,USA,4050.347415,6.824885163,1,2,1,Routine check completed; battery wear observed during diagnostics. quick fix quick fix
MD01585,MRI Scanner,7/10/2014,11,MedEquip,Model-500,Italy,4677.378927,5.018584177,5,3,2,battery wear caused operational delay; system reset initiated. driver update device required inspection
MD03304,X-Ray Machine,10/23/2016,9,ScanPro,Model-100,Canada,5347.31103,5.257911106,5,0,2,battery wear caused operational delay; component upgrade initiated. component issue component review
MD01434,CT Scanner,12/2/2019,6,ImagingTech,Model-300,Italy,7062.4405,3.171972882,4,2,1,Component firmware update after detecting circuit failure; functionality restored. log cleaned quick fix
MD02860,PET Scanner,4/12/2021,4,CardioSync,Model-600,USA,1596.999037,7.355167572,1,4,1,System performance degraded due to software crash; mitigation via system reset. quick fix minor issue
MD03810,Defibrillator,4/12/2017,8,CardioSync,Model-300,USA,13126.98876,7.620371037,3,1,2,Component replacement after detecting software crash; functionality restored. component issue component review
MD04652,CT Scanner,7/15/2022,3,ImagingTech,Model-600,Canada,3956.103004,7.167057013,2,2,2,voltage spike caused operational delay; firmware update initiated. component issue performance warning
MD00494,Defibrillator,11/17/2022,3,ImagingTech,Model-550,France,8330.736829,18.04962491,2,4,3,Routine check completed; circuit failure observed during diagnostics. sensor replaced critical malfunction
MD02751,MRI Scanner,11/7/2021,4,CardioSync,Model-200,USA,4098.290135,12.108469,2,0,2,Component software patch after detecting sensor misalignment; functionality restored. moderate delay moderate delay
MD01743,Infusion Pump,11/18/2017,8,CardioSync,Model-600,UK,-349.1024305,9.41423273,5,2,1,Routine check completed; battery wear observed during diagnostics. quick fix low priority fault
MD04059,Infusion Pump,7/26/2022,3,RescueTech,Model-600,Canada,2625.297117,16.65161896,1,1,3,System performance degraded due to software crash; mitigation via replacement. reboot failed system crash
MD00699,CT Scanner,10/23/2015,10,RescueTech,Model-100,USA,2133.679807,1.968549632,2,2,1,Routine check completed; abnormal sound observed during diagnostics. software reset low priority fault
MD01204,PET Scanner,5/12/2015,10,RescueTech,Model-600,Canada,14582.55961,19.50602736,5,1,3,voltage spike caused operational delay; component upgrade initiated. reboot failed sensor replacement
MD04894,CT Scanner,8/22/2022,3,CardioSync,Model-400,Italy,25707.8055,10.02189412,2,1,3,System performance degraded due to overheating; mitigation via software patch. reboot failed emergency shutdown
MD02341,Infusion Pump,2/9/2023,2,MedEquip,Model-400,France,795.331831,2.423571668,1,1,1,System performance degraded due to sensor misalignment; mitigation via firmware update. minor issue stable condition
MD02395,MRI Scanner,10/19/2018,7,CardioSync,Model-600,USA,1892.5166,4.900934192,4,2,1,Routine check completed; voltage spike observed during diagnostics. software reset quick fix
MD01954,X-Ray Machine,8/31/2018,7,UltraMed,Model-200,Italy,765.2364051,1.383163809,3,0,1,Routine check completed; abnormal sound observed during diagnostics. minor issue system check passed
MD00027,Infusion Pump,1/1/2023,2,ImagingTech,Model-250,Japan,2608.265599,2.28015188,5,4,1,Component inspection after detecting data lag; functionality restored. quick fix low priority fault
MD01492,Infusion Pump,3/8/2015,10,CardioSync,Model-650,Italy,4334.232251,2.762672646,5,3,1,Component recalibration after detecting sensor misalignment; functionality restored. software reset routine reset
MD00095,X-Ray Machine,3/14/2024,1,ImagingTech,Model-500,Italy,5622.208909,7.94520654,1,0,1,Routine check completed; battery wear observed during diagnostics. quick fix low priority fault
MD03637,Infusion Pump,6/21/2016,9,MedEquip,Model-400,USA,27094.43035,16.41304623,3,1,3,abnormal sound caused operational delay; replacement initiated. sensor replaced high priority failure
MD05222,X-Ray Machine,3/13/2023,2,ScanPro,Model-300,France,5635.1577,6.993572971,4,0,1,Routine check completed; overheating observed during diagnostics. minor issue routine reset
MD01982,MRI Scanner,5/16/2019,6,ImagingTech,Model-150,Japan,2970.923278,9.034493214,2,0,1,software crash caused operational delay; inspection initiated. software reset system check passed
MD02066,X-Ray Machine,1/7/2014,11,UltraMed,Model-550,UK,1915.861609,9.141255923,1,1,1,circuit failure caused operational delay; inspection initiated. quick fix minor issue
MD00721,X-Ray Machine,12/14/2020,5,UltraMed,Model-500,Canada,5654.681643,7.683919389,1,1,1,software crash caused operational delay; software patch initiated. minor issue low priority fault
MD01441,PET Scanner,1/10/2024,1,MedEquip,Model-400,UK,7205.469252,14.58463213,5,5,2,System performance degraded due to overheating; mitigation via software patch. reviewed logs driver update applied
MD05104,PET Scanner,10/12/2023,2,ScanPro,Model-200,Japan,7843.992621,3.245685184,5,4,1,abnormal sound caused operational delay; component upgrade initiated. minor issue quick fix
MD02883,MRI Scanner,12/21/2014,11,ImagingTech,Model-300,USA,4739.105843,15.85443766,5,2,2,Component recalibration after detecting sensor misalignment; functionality restored. component issue moderate delay
MD04197,Infusion Pump,2/3/2016,9,UltraMed,Model-350,France,8545.295603,11.54226277,4,7,2,System performance degraded due to abnormal sound; mitigation via software patch. driver update performance warning
MD05009,CT Scanner,3/28/2016,9,ImagingTech,Model-350,USA,23318.26278,28.05594448,4,1,3,Routine check completed; abnormal sound observed during diagnostics. data loss critical malfunction
MD04068,MRI Scanner,1/22/2017,8,MedEquip,Model-400,France,4168.795096,9.349484101,4,5,1,Component recalibration after detecting overheating; functionality restored. log cleaned log file cleared
MD00538,CT Scanner,5/30/2017,8,ImagingTech,Model-600,Japan,10298.19935,22.97709971,2,2,3,Routine check completed; data lag observed during diagnostics. reboot failed hardware fault
MD02366,Defibrillator,12/25/2022,3,ImagingTech,Model-250,France,7712.432181,15.22577348,4,2,2,data lag caused operational delay; replacement initiated. driver update non-critical warning
MD01518,Defibrillator,3/22/2021,4,CardioSync,Model-550,Canada,12064.39926,2.128781406,4,1,2,System performance degraded due to overheating; mitigation via replacement. reviewed logs average severity report
MD04108,X-Ray Machine,6/3/2022,3,UltraMed,Model-350,Italy,3731.908916,8.606997852,2,0,1,battery wear caused operational delay; software patch initiated. minor issue stable condition
MD02501,Defibrillator,8/8/2018,7,CardioSync,Model-250,Japan,15144.13816,20.97287538,3,1,3,System performance degraded due to abnormal sound; mitigation via software patch. critical failure sensor replacement
MD00171,X-Ray Machine,1/22/2015,10,ImagingTech,Model-550,USA,6304.61378,10.18346489,3,4,1,Routine check completed; voltage spike observed during diagnostics. minor issue quick fix
MD04128,X-Ray Machine,4/30/2023,2,ImagingTech,Model-550,Canada,13494.78026,15.17033708,1,0,2,Routine check completed; battery wear observed during diagnostics. driver update device required inspection
MD02224,Infusion Pump,12/5/2021,4,RescueTech,Model-500,France,6339.791141,6.057224846,2,2,1,Component software patch after detecting data lag; functionality restored. log cleaned routine reset
MD03757,Defibrillator,8/17/2015,10,RescueTech,Model-500,Japan,7911.382215,8.045201289,1,1,1,circuit failure caused operational delay; recalibration initiated. minor issue stable condition
MD03178,Defibrillator,7/24/2015,10,ScanPro,Model-400,Italy,7772.176446,3.564200642,1,2,1,System performance degraded due to circuit failure; mitigation via inspection. minor issue stable condition
MD03901,PET Scanner,2/16/2021,4,ScanPro,Model-300,France,20122.55577,27.62827955,4,0,3,Routine check completed; data lag observed during diagnostics. data loss emergency shutdown
MD02112,PET Scanner,6/16/2013,12,ScanPro,Model-200,France,21476.97523,17.83058082,1,0,3,System performance degraded due to circuit failure; mitigation via inspection. data loss urgent inspection needed
MD02444,PET Scanner,3/15/2015,10,ScanPro,Model-150,Canada,3372.032399,4.247844639,3,1,1,abnormal sound caused operational delay; inspection initiated. software reset quick fix
MD02979,Infusion Pump,4/7/2017,8,ImagingTech,Model-350,UK,12176.7068,12.73685092,5,3,3,Component firmware update after detecting abnormal sound; functionality restored. sensor replaced urgent inspection needed
MD01138,CT Scanner,2/3/2014,11,ImagingTech,Model-350,UK,295.8894042,3.988707231,1,3,2,System performance degraded due to data lag; mitigation via recalibration. moderate delay device required inspection
MD04923,Defibrillator,1/21/2022,3,CardioSync,Model-200,Canada,3830.43049,5.740304571,3,0,1,Routine check completed; voltage spike observed during diagnostics. quick fix routine reset
MD01823,MRI Scanner,1/26/2019,6,ImagingTech,Model-300,Canada,13006.94805,11.64150327,5,2,2,sensor misalignment caused operational delay; firmware update initiated. component issue performance warning
MD02839,PET Scanner,9/16/2016,9,CardioSync,Model-400,Italy,13171.21304,6.182491909,2,0,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay performance warning
MD04543,Infusion Pump,10/7/2017,8,ImagingTech,Model-250,Canada,9248.402134,5.077061089,4,2,1,Routine check completed; data lag observed during diagnostics. software reset temporary glitch
MD05214,MRI Scanner,4/14/2013,12,RescueTech,Model-200,USA,6597.402757,1.60666759,3,2,1,System performance degraded due to abnormal sound; mitigation via system reset. minor issue temporary glitch
MD04378,PET Scanner,5/11/2022,3,ImagingTech,Model-550,UK,15312.63821,18.39168505,1,0,3,System performance degraded due to battery wear; mitigation via component upgrade. reboot failed sensor replacement
MD00338,MRI Scanner,5/29/2023,2,MedEquip,Model-550,Canada,8164.831413,10.95274043,2,2,2,Routine check completed; software crash observed during diagnostics. driver update non-critical warning
MD02583,PET Scanner,5/26/2020,5,MedEquip,Model-300,France,11942.96224,22.52363162,4,1,3,software crash caused operational delay; system reset initiated. critical failure urgent inspection needed
MD05237,X-Ray Machine,12/12/2016,9,CardioSync,Model-450,USA,6703.415713,7.258048712,2,6,1,Component system reset after detecting sensor misalignment; functionality restored. minor issue minor issue
MD05491,MRI Scanner,11/15/2019,6,CardioSync,Model-500,Japan,13018.50382,19.70046699,5,2,3,abnormal sound caused operational delay; replacement initiated. critical failure critical failure
MD04886,Defibrillator,3/21/2020,5,ImagingTech,Model-600,UK,13253.00881,12.33761988,4,5,3,Routine check completed; circuit failure observed during diagnostics. critical failure sensor replacement
MD02028,PET Scanner,8/10/2018,7,UltraMed,Model-100,USA,8543.704344,4.617901137,4,1,1,battery wear caused operational delay; firmware update initiated. log cleaned minor issue
MD02014,Infusion Pump,3/16/2017,8,RescueTech,Model-650,France,7787.120613,15.99649778,1,2,2,Routine check completed; voltage spike observed during diagnostics. moderate delay device required inspection
MD02255,MRI Scanner,12/9/2016,9,CardioSync,Model-300,Japan,8987.616208,21.83103794,1,2,3,Routine check completed; overheating observed during diagnostics. reboot failed critical failure
MD01728,Infusion Pump,2/1/2022,3,RescueTech,Model-150,Canada,5224.10355,26.71622569,1,2,3,Routine check completed; data lag observed during diagnostics. reboot failed system crash
MD03397,Infusion Pump,8/17/2013,12,MedEquip,Model-200,Canada,6756.100247,5.516551917,3,3,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay performance warning
MD05040,Infusion Pump,7/3/2021,4,RescueTech,Model-200,USA,1559.318139,4.49186637,1,2,1,Component firmware update after detecting software crash; functionality restored. quick fix system check passed
MD04980,Infusion Pump,3/15/2020,5,ScanPro,Model-250,Japan,12468.98618,9.020697493,4,2,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay average severity report
MD02596,X-Ray Machine,2/9/2020,5,CardioSync,Model-400,UK,9324.922164,7.139910184,5,1,3,Component system reset after detecting sensor misalignment; functionality restored. critical failure sensor replacement
MD01622,CT Scanner,7/12/2013,12,RescueTech,Model-200,Canada,8250.809093,6.907849091,2,3,2,overheating caused operational delay; component upgrade initiated. moderate delay average severity report
MD04977,Defibrillator,4/11/2014,11,MedEquip,Model-100,France,7111.037153,6.780235072,3,3,1,Routine check completed; overheating observed during diagnostics. log cleaned routine reset
MD03151,X-Ray Machine,2/13/2020,5,ScanPro,Model-100,Italy,1762.282327,3.055940846,1,0,1,battery wear caused operational delay; replacement initiated. minor issue stable condition
MD02940,MRI Scanner,1/21/2015,10,CardioSync,Model-600,Italy,4404.540764,3.737463069,3,2,1,abnormal sound caused operational delay; firmware update initiated. software reset minor issue
MD04987,MRI Scanner,5/2/2021,4,CardioSync,Model-450,Japan,15274.40763,25.2865212,3,1,3,System performance degraded due to sensor misalignment; mitigation via software patch. critical failure high priority failure
MD02789,Infusion Pump,12/7/2020,5,CardioSync,Model-500,Japan,3074.228793,5.310409814,3,3,1,Routine check completed; software crash observed during diagnostics. quick fix log file cleared
MD04798,Infusion Pump,3/17/2023,2,ScanPro,Model-650,France,11593.70876,13.8715333,3,1,3,software crash caused operational delay; firmware update initiated. sensor replaced high priority failure
MD00077,PET Scanner,2/3/2014,11,ScanPro,Model-300,Italy,7834.40065,8.353238534,2,7,1,sensor misalignment caused operational delay; recalibration initiated. minor issue system check passed
MD01628,PET Scanner,1/27/2019,6,CardioSync,Model-150,France,7569.309564,8.889839029,4,3,1,Component replacement after detecting sensor misalignment; functionality restored. log cleaned temporary glitch
MD03264,X-Ray Machine,2/15/2022,3,CardioSync,Model-200,Canada,6282.246696,2.216430091,3,2,2,System performance degraded due to voltage spike; mitigation via recalibration. reviewed logs performance warning
MD01180,MRI Scanner,12/16/2021,4,UltraMed,Model-200,Japan,9560.983961,8.503263223,4,0,2,Component system reset after detecting voltage spike; functionality restored. driver update non-critical warning
MD00738,CT Scanner,11/28/2013,12,RescueTech,Model-550,Canada,13834.93409,17.34317483,5,3,3,circuit failure caused operational delay; inspection initiated. sensor replaced high priority failure
MD02593,PET Scanner,8/10/2018,7,MedEquip,Model-250,UK,7539.509732,4.604344103,4,3,2,Component component upgrade after detecting overheating; functionality restored. component issue moderate delay
MD00626,CT Scanner,3/3/2019,6,CardioSync,Model-650,France,5232.461153,4.146258843,5,3,1,Routine check completed; data lag observed during diagnostics. minor issue system check passed
MD04808,CT Scanner,9/9/2022,3,MedEquip,Model-200,Canada,-494.7011628,8.53250896,2,2,1,Routine check completed; abnormal sound observed during diagnostics. minor issue system check passed
MD02439,MRI Scanner,1/8/2018,7,MedEquip,Model-200,Japan,20512.69674,3.540167598,2,1,3,Component inspection after detecting abnormal sound; functionality restored. critical failure critical malfunction
MD04585,CT Scanner,7/28/2022,3,MedEquip,Model-600,Italy,12615.74667,7.093891694,4,3,2,Component inspection after detecting abnormal sound; functionality restored. reviewed logs non-critical warning
MD02369,PET Scanner,12/2/2022,3,ImagingTech,Model-100,Japan,23245.0899,13.18445639,2,1,3,Routine check completed; abnormal sound observed during diagnostics. reboot failed system crash
MD01710,MRI Scanner,12/27/2021,4,RescueTech,Model-450,France,15549.89823,14.92014456,2,2,2,Component software patch after detecting sensor misalignment; functionality restored. driver update moderate delay
MD00193,CT Scanner,7/30/2017,8,ScanPro,Model-500,Canada,6446.90949,2.617850582,2,4,1,Routine check completed; voltage spike observed during diagnostics. software reset quick fix
MD03718,Defibrillator,9/29/2020,5,CardioSync,Model-500,USA,7081.065609,2.075849289,3,0,2,abnormal sound caused operational delay; firmware update initiated. reviewed logs average severity report
MD00220,X-Ray Machine,5/6/2022,3,MedEquip,Model-250,USA,7996.007369,16.24361699,4,1,2,System performance degraded due to sensor misalignment; mitigation via system reset. moderate delay non-critical warning
MD01756,CT Scanner,10/6/2021,4,UltraMed,Model-300,France,10409.06743,5.2675463,1,1,2,Routine check completed; battery wear observed during diagnostics. reviewed logs non-critical warning
MD05163,Defibrillator,5/14/2023,2,MedEquip,Model-350,UK,13329.67547,11.57412389,4,2,3,Component recalibration after detecting battery wear; functionality restored. data loss hardware fault
MD03502,PET Scanner,6/24/2016,9,ImagingTech,Model-550,Canada,5400.618758,8.242690485,2,0,1,Component recalibration after detecting abnormal sound; functionality restored. quick fix routine reset
MD04887,X-Ray Machine,11/9/2015,10,CardioSync,Model-100,France,9046.824603,9.162909507,2,1,2,Component component upgrade after detecting software crash; functionality restored. component issue average severity report
MD05387,PET Scanner,9/15/2021,4,UltraMed,Model-500,Canada,12272.89123,11.24557445,4,1,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay average severity report
MD03961,X-Ray Machine,2/2/2015,10,UltraMed,Model-350,France,4182.62834,1.442834514,4,1,1,Component replacement after detecting overheating; functionality restored. log cleaned system check passed
MD00985,X-Ray Machine,6/30/2021,4,ImagingTech,Model-200,Canada,8956.374962,23.06426965,4,2,3,circuit failure caused operational delay; inspection initiated. critical failure critical failure
MD03177,PET Scanner,5/9/2015,10,MedEquip,Model-200,Italy,27821.85936,5.467679566,4,1,3,System performance degraded due to voltage spike; mitigation via system reset. reboot failed emergency shutdown
MD02283,MRI Scanner,3/22/2020,5,RescueTech,Model-600,France,8070.50764,4.427946337,5,2,1,System performance degraded due to voltage spike; mitigation via replacement. quick fix low priority fault
MD01990,CT Scanner,9/3/2021,4,RescueTech,Model-650,UK,7994.518317,13.25339487,2,2,2,System performance degraded due to abnormal sound; mitigation via component upgrade. reviewed logs non-critical warning
MD00289,X-Ray Machine,9/29/2021,4,MedEquip,Model-250,UK,2860.642657,4.409244234,4,4,1,Component inspection after detecting software crash; functionality restored. log cleaned minor issue
MD02613,Defibrillator,4/1/2023,2,ScanPro,Model-200,Italy,19319.06014,13.73503575,3,0,3,System performance degraded due to software crash; mitigation via system reset. reboot failed emergency shutdown
MD00618,Defibrillator,10/23/2020,5,RescueTech,Model-350,Italy,3316.354542,2.672831235,1,1,1,overheating caused operational delay; inspection initiated. software reset log file cleared
MD04922,Defibrillator,7/20/2018,7,MedEquip,Model-350,Japan,15613.90341,16.6726812,3,1,2,Routine check completed; voltage spike observed during diagnostics. moderate delay driver update applied
MD00519,PET Scanner,8/17/2023,2,ScanPro,Model-650,UK,4995.075658,8.750718825,4,1,1,Routine check completed; overheating observed during diagnostics. software reset minor issue
MD00533,X-Ray Machine,10/17/2016,9,CardioSync,Model-650,Canada,4230.54957,5.950224391,5,0,2,circuit failure caused operational delay; system reset initiated. component issue average severity report
MD02101,Defibrillator,1/2/2017,8,MedEquip,Model-500,USA,6200.422006,2.074751688,5,1,2,Routine check completed; software crash observed during diagnostics. component issue component review
MD01144,CT Scanner,6/2/2013,12,ImagingTech,Model-350,France,13535.91472,19.17913541,4,3,3,sensor misalignment caused operational delay; component upgrade initiated. sensor replaced critical malfunction
MD01742,MRI Scanner,2/5/2014,11,UltraMed,Model-600,Canada,6041.749648,10.2160483,2,1,2,software crash caused operational delay; recalibration initiated. driver update performance warning
MD00122,X-Ray Machine,10/1/2019,6,MedEquip,Model-650,UK,4421.396708,4.211071214,1,3,1,System performance degraded due to battery wear; mitigation via replacement. log cleaned temporary glitch
MD00419,CT Scanner,9/26/2014,11,CardioSync,Model-200,USA,103.2897502,4.390422952,3,1,2,Component system reset after detecting overheating; functionality restored. reviewed logs driver update applied
MD03091,CT Scanner,9/3/2016,9,RescueTech,Model-500,Italy,11052.74943,6.408041654,1,1,2,Component replacement after detecting abnormal sound; functionality restored. component issue device required inspection
MD01436,Infusion Pump,2/24/2019,6,CardioSync,Model-250,Italy,5432.744055,5.405062969,1,2,1,abnormal sound caused operational delay; recalibration initiated. minor issue stable condition
